School Year,District Name,Category,Student Group,ELACount,ELAPerformanceIndex,MathCount,MathPerformanceIndex,ScienceCount,SciencePerformanceIndex
2017-2018,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,133462,57.5,133113,52,N/A,N/A
2017-2018,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,134635,77.6,134502,73.3,N/A,N/A
2017-2018,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,109967,57.8,109679,52.1,N/A,N/A
2017-2018,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,158130,74.4,157936,70,N/A,N/A
2017-2018,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Free,95736,56.9,95472,51.2,N/A,N/A
2017-2018,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Non-Subsidized,158130,74.4,157936,70,N/A,N/A
2017-2018,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Reduced,14231,63.9,14207,58.8,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,684,62.2,682,56.9,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,Asian,13449,78.9,13437,78.8,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,Black or African American,33956,56.5,33870,49.3,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,Hispanic or Latino,65237,57.6,65090,52.1,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,285,68.3,285,62.8,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,Two or More Races,8562,69.6,8549,64.5,N/A,N/A
2017-2018,State of Connecticut,Race/Ethnicity,White,145924,73.5,145702,69,N/A,N/A
2017-2018,State of Connecticut,Special Education Status (SWD),Students with Disabilities,40164,47.4,39988,41.7,N/A,N/A
2017-2018,State of Connecticut,Special Education Status (SWD),Students without Disabilities,227933,71.1,227627,66.4,N/A,N/A
2018-2019,State of Connecticut,All Students,State,265484,67.7,264912,63.1,114517,63.8
2018-2019,State of Connecticut,English Language Learners (EL),English Learners,28548,55,28456,51.7,10914,51.4
2018-2019,State of Connecticut,English Language Learners (EL),Not English Learners,236936,69.2,236456,64.4,103603,65.1
2018-2019,State of Connecticut,Gender,Female,129732,70.2,129487,63.2,55953,64.4
2018-2019,State of Connecticut,Gender,Male,135731,65.2,135404,62.9,58550,63.2
2018-2019,State of Connecticut,Gender,Non-Binary,21,75,21,64.4,*,*
2018-2019,State of Connecticut,Grade,3,35960,69.9,35906,64.9,N/A,N/A
2018-2019,State of Connecticut,Grade,4,37146,72,37093,68.4,N/A,N/A
2018-2019,State of Connecticut,Grade,5,38140,69.6,38054,67.3,38083,67.6
2018-2019,State of Connecticut,Grade,6,39153,70.3,39076,63.5,N/A,N/A
2018-2019,State of Connecticut,Grade,7,38790,68.4,38626,62.1,N/A,N/A
2018-2019,State of Connecticut,Grade,8,39007,65.7,38870,60.4,38991,64.5
2018-2019,State of Connecticut,Grade,11,37288,57.7,37287,55,37443,59.1
2018-2019,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,138396,58.1,137933,52.7,57164,54.2
2018-2019,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,127088,78.1,126979,74.4,57353,73.4
2018-2019,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,115443,58.5,115058,52.7,47580,54.3
2018-2019,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,150041,74.7,149854,71,66937,70.5
2018-2019,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Free,97598,57.6,97244,51.7,39798,53.4
2018-2019,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Non-Subsidized,150041,74.7,149854,71,66937,70.5
2018-2019,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Reduced,17845,63.7,17814,58.6,7782,58.8
2018-2019,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,684,62.3,681,57.5,276,58.2
2018-2019,State of Connecticut,Race/Ethnicity,Asian,13496,79.5,13476,79.8,5795,76.3
2018-2019,State of Connecticut,Race/Ethnicity,Black or African American,33765,56.8,33667,49.7,14392,50.8
2018-2019,State of Connecticut,Race/Ethnicity,Hispanic or Latino,67382,58.1,67156,52.4,27512,53.8
2018-2019,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,258,66.2,256,62.8,121,64.2
2018-2019,State of Connecticut,Race/Ethnicity,Two or More Races,9227,70,9211,65,3600,66.1
2018-2019,State of Connecticut,Race/Ethnicity,White,140672,73.6,140465,69.6,62821,69.9
2018-2019,State of Connecticut,Special Education Status (SWD),Students with Disabilities,41270,47.4,41040,41.7,17183,46.6
2018-2019,State of Connecticut,Special Education Status (SWD),Students without Disabilities,224214,71.4,223872,67,97334,66.8
2021-2022,State of Connecticut,All Students,State,252821,64.2,251836,58.6,109121,61.4
2021-2022,State of Connecticut,English Language Learners (EL),English Learners,30399,51.2,30284,46.8,11595,48.6
2021-2022,State of Connecticut,English Language Learners (EL),Not English Learners,222422,66,221552,60.2,97526,62.9
2021-2022,State of Connecticut,Gender,Female,123714,66.3,123240,58.1,53447,61.5
2021-2022,State of Connecticut,Gender,Male,128974,62.2,128465,59.1,55590,61.3
2021-2022,State of Connecticut,Gender,Non-Binary,133,70.7,131,58.8,84,71.4
2021-2022,State of Connecticut,Grade,3,34676,66.2,34582,60.5,N/A,N/A
2021-2022,State of Connecticut,Grade,4,35414,68.9,35326,64.1,N/A,N/A
2021-2022,State of Connecticut,Grade,5,35764,66.5,35670,62.8,35693,65.8
2021-2022,State of Connecticut,Grade,6,36155,66.6,35960,58.4,N/A,N/A
2021-2022,State of Connecticut,Grade,7,37241,64.2,36998,57.4,N/A,N/A
2021-2022,State of Connecticut,Grade,8,38100,61.9,37832,55,37922,61.7
2021-2022,State of Connecticut,Grade,11,35471,55.3,35468,52.4,35506,56.6
2021-2022,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,132402,54.2,131642,47.7,55034,51.3
2021-2022,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,120419,75.2,120194,70.6,54087,71.7
2021-2022,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,105350,54.4,104736,47.3,43716,51.4
2021-2022,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,147471,71.2,147100,66.7,65405,68.1
2021-2022,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Free,90811,53.6,90248,46.3,37438,50.6
2021-2022,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Non-Subsidized,147471,71.2,147100,66.7,65405,68.1
2021-2022,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Reduced,14539,59.7,14488,53.3,6278,56.1
2021-2022,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,637,58.4,633,53,260,55.5
2021-2022,State of Connecticut,Race/Ethnicity,Asian,13108,77.5,13087,76.6,5565,75.5
2021-2022,State of Connecticut,Race/Ethnicity,Black or African American,31597,53.5,31410,44.9,13567,48.7
2021-2022,State of Connecticut,Race/Ethnicity,Hispanic or Latino,71833,54.4,71464,47.6,29880,51.3
2021-2022,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,247,62.5,247,57.6,103,58.9
2021-2022,State of Connecticut,Race/Ethnicity,Two or More Races,10808,67,10763,60.9,4351,64
2021-2022,State of Connecticut,Race/Ethnicity,White,124591,71,124232,66.4,55395,68.3
2021-2022,State of Connecticut,Special Education Status (SWD),Students with Disabilities,41784,45,41391,38.8,17497,44
2021-2022,State of Connecticut,Special Education Status (SWD),Students without Disabilities,211037,68,210445,62.5,91624,64.7
2022-2023,State of Connecticut,All Students,State,251547,63.9,250666,59.7,108705,61.6
2022-2023,State of Connecticut,English Language Learners (EL),English Learners,31197,50.9,31076,47.8,11925,47.5
2022-2023,State of Connecticut,English Language Learners (EL),Not English Learners,220350,65.8,219590,61.4,96780,63.3
2022-2023,State of Connecticut,Gender,Female,122787,65.8,122385,58.9,53051,61.7
2022-2023,State of Connecticut,Gender,Male,128580,62.1,128103,60.4,55525,61.5
2022-2023,State of Connecticut,Gender,Non-Binary,180,70,178,59.3,129,70.5
2022-2023,State of Connecticut,Grade,3,35174,65.8,35098,62.1,N/A,N/A
2022-2023,State of Connecticut,Grade,4,35237,69.2,35177,65.6,N/A,N/A
2022-2023,State of Connecticut,Grade,5,35741,66.4,35667,64.4,35658,65.9
2022-2023,State of Connecticut,Grade,6,35893,66.7,35742,59.7,N/A,N/A
2022-2023,State of Connecticut,Grade,7,36294,64,36082,58.3,N/A,N/A
2022-2023,State of Connecticut,Grade,8,37479,61.6,37175,56.1,37271,61
2022-2023,State of Connecticut,Grade,11,35729,53.9,35725,51.9,35776,57.9
2022-2023,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,135052,54.1,134323,48.9,56420,51.1
2022-2023,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,116495,75.3,116343,72.2,52285,72.9
2022-2023,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,108288,54.2,107698,48.5,45272,51.1
2022-2023,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,143259,71.3,142968,68.2,63433,69.1
2022-2023,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Free,93466,53.3,92916,47.4,38788,50.1
2022-2023,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Non-Subsidized,143259,71.3,142968,68.2,63433,69.1
2022-2023,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Reduced,14822,59.7,14782,54.8,6484,56.6
2022-2023,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,624,57.3,623,52.1,268,56.3
2022-2023,State of Connecticut,Race/Ethnicity,Asian,13121,77.1,13099,77.7,5700,76.6
2022-2023,State of Connecticut,Race/Ethnicity,Black or African American,31493,53.3,31329,45.8,13684,48.3
2022-2023,State of Connecticut,Race/Ethnicity,Hispanic or Latino,73332,54.1,72989,48.8,30766,50.9
2022-2023,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,240,60.5,239,56.5,118,59.3
2022-2023,State of Connecticut,Race/Ethnicity,Two or More Races,11374,66.7,11327,62.1,4561,64.8
2022-2023,State of Connecticut,Race/Ethnicity,White,121363,70.9,121060,67.7,53608,69.3
2022-2023,State of Connecticut,Special Education Status (SWD),Students with Disabilities,43356,45.3,42951,40.1,18193,43.5
2022-2023,State of Connecticut,Special Education Status (SWD),Students without Disabilities,208191,67.8,207715,63.7,90512,65.2
